PG.ProteinGroups,[1] 22_0430_001_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0430_002_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0430_003_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0430_004_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0430_005_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0430_006_SSL2_ND_Inj_29_01.wiff.PG.Quantity,[7] 22_0430_007_SSL2_ND_Non_26_01.wiff.PG.Quantity,[8] 22_0430_008_SSL2_ND_Inj_30_01.wiff.PG.Quantity
Q6P8J2,37.79356766,13.65383434,2.644416332,Filtered,22.66648293,21.81471825,16.01112175,Filtered
Q6P8N8;Q9JHS4,37.3386879,24.34899902,37.50645828,12.9579277,41.50372696,28.24393845,41.82919312,Filtered
Q6P8X1,76.61444092,111.3370438,71.72009277,71.9070816,81.83322906,84.96065521,75.71646118,Filtered
Q6P9J9,9.767697334,4.566478729,12.2520256,10.29848671,14.92259407,8.981721878,8.219158173,Filtered
Q6P9Q6;Q6P9Q6-2,5.951197624,11.76381111,8.524682045,8.749296188,7.83657217,9.451822281,8.345022202,Filtered
Q6P9R2,29.86274338,20.52542305,20.90062332,39.0622406,27.5592804,26.38494873,20.14724731,Filtered
Q6PAM1;Q6PAM1-2,Filtered,Filtered,Filtered,NaN,Filtered,1.375249147,3.179247141,Filtered
Q6PAR5;Q6PAR5-2;Q6PAR5-4;Q6PAR5-5;Q6PAR5-6,5.372579575,1.459811568,4.617966175,3.667739868,3.119368553,2.241661787,1.824989319,Filtered
Q6PAV2;Q6PAV2-2,4.208778858,8.284358978,NaN,3.529587984,2.642231226,3.564220905,5.022737026,Filtered
Q6PB44;Q6PB44-2,4.578345776,5.258908749,9.125226974,5.105492115,3.542835236,7.833806992,4.983489513,Filtered
Q6PB66,151.1764374,113.0172577,169.7352753,92.19580841,168.8270721,116.6074371,152.4524536,Filtered
Q6PB93;Q6PB93-2,7.264778137,2.701980352,6.12359333,10.40810108,11.67068958,7.640795708,12.86645508,Filtered
Q6PD26,3.955588579,7.594403267,8.315116882,9.995838165,11.50405025,6.352640152,19.00018501,Filtered
Q6PDI5,3.21812439,5.85721159,3.662474394,4.958144665,2.845520735,3.710026979,3.610256672,Filtered
Q6PDL0,44.39785004,28.07272911,66.4595108,30.48458862,19.42044258,50.52091599,28.84284019,Filtered
Q6PE01,10.49795628,38.0202713,12.96356392,36.82524872,10.73262119,29.92391968,14.74095917,Filtered
Q6PFB2;Q8VE37,11.61455631,29.46128464,12.04759216,23.49503326,15.93044758,26.34266472,13.18480968,Filtered
Q6PGB6;Q6PGB6-2;Q6PGB6-3;Q6PGB6-4,7.544960499,9.281845093,7.862628937,10.98455429,4.253099442,3.965451717,6.094387054,Filtered
Q6PGC1,4.245559216,14.0036459,5.482790947,5.71037674,3.628864765,8.289919853,2.841953754,Filtered
Q6PGF5,Filtered,1,Filtered,Filtered,NaN,NaN,Filtered,Filtered
Q6PGF7,5.128000259,4.468962669,4.383373737,6.558694363,4.225002766,5.310965061,1.241930842,Filtered
Q6PGH2,5.370696068,9.775014877,4.196005821,9.447564125,1.709638476,7.893604755,NaN,Filtered
Q6PGL7;Q6PGL7-2,18.29498291,8.487293243,8.788357735,4.393842697,6.972040653,13.06275845,6.650233746,Filtered
Q6PHN9,19.78892708,15.10749912,14.08925819,19.18520355,19.94657898,14.08079243,16.81458282,Filtered
Q6PIU9,8.847302437,6.393108845,8.160006523,6.678970337,7.597984791,8.123637199,6.5192523,Filtered
Q6Q899,6.193851471,9.709412575,5.002135277,18.11887169,4.568603516,14.81883335,5.109119892,Filtered
Q6S9I0;Q6S9I2;Q6S9I3,15.45515251,9.975842476,6.093434811,45.52436066,6.474062443,15.08076763,3.273688316,Filtered
Q6XPS7,28.65625,14.42995071,23.31445122,10.60085678,19.36757851,7.564248085,23.39701462,Filtered
Q6ZQ38,71.17799377,85.72908783,71.3946991,96.20446014,67.88658905,98.52853394,64.32213593,Filtered
Q6ZQ58;Z4YJT3,21.47549629,4.45754528,17.15226364,3.987481594,2.615223169,5.701170444,3.718327761,Filtered
Q6ZQI3,133.4392548,122.4134064,153.5782776,174.6844788,166.3747864,127.6635971,132.6076508,Filtered
Q6ZQL4,1.203608871,6.430016041,Filtered,3.429737806,NaN,2.493410349,3.392369986,Filtered
Q6ZQM8,234.7652893,394.5568848,268.6839905,321.1353149,240.0816956,247.0778046,251.6243591,Filtered
Q6ZWM4,17.54904366,61.34354019,14.68111134,57.17292404,19.9246273,38.18325424,19.22527695,Filtered
Q6ZWN5,237.5652466,379.4389648,220.1481018,627.1173096,179.4479523,482.342865,308.2971191,Filtered
Q6ZWQ7,18.55238342,13.04854012,19.23203087,35.26330948,14.55818653,31.80780602,18.08299065,Filtered
Q6ZWQ9,8.456212044,45.69486618,8.440439224,30.83652306,10.20864773,33.53511047,5.239062309,Filtered
Q6ZWV7,122.8654556,196.2123718,114.1494446,172.9464264,105.6510239,203.3537598,130.8989258,Filtered
Q6ZWX6,68.36709595,108.2117615,61.25635529,116.5876923,64.80625916,96.18658447,60.78114319,Filtered
Q6ZWY3,96.88024139,204.0423889,104.757576,118.6490555,104.3715744,134.4720001,79.12716675,Filtered
