RBM8
Magohb;Magoh;Magohb
Cask
Igkv8-27
Igkv6-13
Igkc;
Ighg2b
Ighg1
Ighg3;;
Ighm
Ighv1-43
Srgap2
Soat1
Cdv3
Tceb1
Agfg1
Ktn1
Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp1;Clasp2;Clasp1;Clasp1;Clasp2;Clasp1;Clasp2;Clasp1;Clasp1;Clasp2
Ly6c1
Trip12
Plekha6
Inppl1
2210011C24Rik
Bclaf1
Tns1
Bzw1
Casp8
Gm4064;Rbmy1a1;Gm21693;Rbmy1a1;Rbmy1b
Adhfe1
2310035C23Rik;2310035C23Rik;2310035C23Rik;Kiaa1468
Sumo1
Nucks1
Sh3bgrl2
Fn1
Mapkapk2
Stat1
Gcdh
Prrc2c
Havcr1
S100a13
Nccrp1
Serpina1a;Serpina1c;Serpina1a;Serpina1c
Tuba4a
Mapt
Gapdh
Phyhd1
Atg7
Surf1
Cr1l
Gm9774;Adrm1
Map4k4;Map4k4;Map4k4;Map4k4;Tnik;Map4k4;Map4k4;Tnik;Tnik;Tnik;Tnik;Tnik;Tnik;Map4k4;Mink1;Map4k4;Mink1;Tnik;Tnik;Map4k4;Mink1;Mink1;Mink1;Mink1;Mink1
Enah
Usp4
Naa15
Atp6v1h
Prkar2a
Stx6
Osbpl9
Ncam1
Ighg2c
Snw1
Prom1
Rabggtb
Ubap2l
Ube2d3;Ube2d3;Ube2d3;Ube2d2
Iglc1;
Sh3glb1
Abhd4
Crip1
Fxr1
Rufy3
Fubp1
Tsc22d2
Pgam5
S100a4
Dhx30
Nras
Nub1
Dclk1
Camk2d
Dcun1d1
Atp1a3
Tspan9
Specc1
11-Sep
Ctbp1
Khk
Nup205
Sumf2
Wbscr27
Hmgb1
Mgam
Ppm1g
Lias
Txnrd2
Nfu1
Dysf
Aoc1
Eefsec
H2afj;Hist1h2ab;Hist3h2a;Hist1h2af;Hist1h2ah;Hist1h2ak;H2afj
Arl8b
Tra2a
Eif4g3
Ppp6c
Ndufa4
Tmem176a
Rarres2
Gng12
Rab11fip5
Fam136a
Ndufa9
Cdh1
Trmt1
Capns1
Sdf2
Slc9a3r2
Thop1
Cyp2d26
Prtn3
Dus3l
Lims1
Tpmt
Auh
C9
Pdxdc1
Hrg
Mep1a
Luc7l
Prmt5
Acy1
Adpgk
Ubxn4
Acbd3
Ndufaf1
Acadl
Uap1
Manba
Fahd2a
Zfp326;Znf326
Mark2
Plbd1
Cmas
Abcg2
Stt3b
Gak
Pck2
Ranbp10
Eml4
Serpina3k
Acad11
Lrp1
15-Sep
Ckap5
Mrps35
Apof
Acad8
Slc22a18
Lmnb2
Trim56
Cog7
Vamp8
Igfals
Rtn4ip1
Ikbkb
Celf1
Arfgap3
Commd5
Polr2a
Car12;Ca12;Car12
Lrrc40
Arhgef7
Pdia4
Ush1c
Dab2
Apeh
Btd
Selenbp2
Arsb
Cluh
Osbpl8
Nat8f3;Cml3
Smarca4
Ecsit
Xrcc6
Bst1
Rprd1b
Cpne2
Dbn1
Tatdn1
Steap3
Glyctk
Golga3
Nup210
Slc22a12
Afap1l2
Apoc3
Ank1
Rdh13
Tfam
Edc4
Enpp1
Pcbd2
Pdzk1
Sorbs2
Cdc23
Coq8b
Osgep
Txndc5
