PG.ProteinGroups,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
Q5SUH6;Q5SUH7,29.21746826,48.36632156,35.84251022,16.17518044,34.61662674,27.62982178,44.9747963,40.37707138
Q5SUR0,34.11100388,76.69983673,32.52421951,55.17817307,31.48011589,31.31828499,92.48387146,77.36759949
Q5SUS9;Q5SUT0;Q61545,62.46442413,104.9350433,41.69972229,92.34460449,40.75652695,49.70861435,125.4299927,77.43976593
Q5SVR0;Q5SVR0-2,14.36665344,11.7322855,19.20073891,17.00005341,17.59749603,11.79024792,19.12809372,21.42304993
Q5SVW9;Q8R1V4,75.49475861,72.27178192,74.91272736,49.69825363,69.11778259,55.27148056,46.18021011,44.06597137
Q5SW88,612.0340576,666.923584,593.4714355,834.7894287,580.6783447,621.2185669,551.6419678,686.9567261
Q5SWN2;Q8VEE4,6.122306824,2.161270618,NaN,3.933338642,Filtered,Filtered,4.559846878,6.376790047
Q5SWT3,68.84707642,7.152014256,57.68016052,18.51286125,45.67679596,25.47383308,13.15744686,3.673732758
Q5SWU9;Q5SWU9-2,7.690962315,2.157073259,5.411306858,10.4285593,5.775209427,5.586812496,10.60744858,15.25881863
Q5SX75;Q60716;Q60716-2,5.057981968,9.55053997,Filtered,24.80985451,Filtered,6.13589859,8.558954239,4.806537151
Q5SXR6;Q68FD5,1892.544556,2233.130127,1956.268921,2212.180176,2039.760254,2092.743164,2320.501221,2449.939941
Q5SYD0,64.04373169,100.8646393,69.37452698,92.47249603,89.25862122,66.11209869,126.5110245,89.31639099
Q5U3K5,25.69639778,15.54740047,14.24447441,26.01657867,23.71886826,25.86327934,26.36168671,19.11679268
Q5U458,179.6382599,76.03129578,203.2221222,89.70227814,129.9328766,160.4823608,65.42292786,80.1676178
Q5U5M8,31.9205513,Filtered,Filtered,10.22762203,9.612380028,Filtered,18.13968658,10.28880501
Q5U5V2,788.4922485,328.6095581,823.2293091,102.8312836,808.4401245,749.4418945,200.3182983,274.6484985
Q5XJE5,210.6945496,372.6047974,258.5493164,324.0355225,162.7868958,186.0550385,263.7103271,308.421936
Q5XJF6,1229.607544,1799.947632,1255.137817,1380.680176,1269.684814,1250.468628,1760.889648,1331.613037
Q5XJY5,206.7828674,293.2593689,202.6587219,328.1565552,195.4550171,233.1572571,304.6972351,281.6702271
Q5YD48;Q5YD48-2;Q5YD48-3,13.95464897,7.871664524,16.40491104,17.80467606,23.01895905,16.08953667,4.967482567,6.132197857
Q60590,72.33414459,72.25013733,34.40883636,1120.316284,53.77095795,86.38722992,213.0074158,116.0340805
Q60597,3736.193115,1893.346924,3881.755371,1719.501465,3995.49292,3377.328369,1367.776855,1747.748169
Q60598,294.0447693,407.9660645,287.3190613,349.4276428,278.5037231,276.8940125,423.4008789,377.7388
Q60604,223.464386,928.3610229,170.3128052,320.9200745,206.6955109,132.3887634,1104.253906,760.72052
Q60605-2,1355.462524,3618.172363,1385.902832,3552.564697,1438.338013,1335.308472,3958.123779,3362.691406
Q60648,1330.260254,1039.089478,1185.408936,280.7293396,909.3793945,1074.80896,627.2550659,838.2529907
Q60668;Q60668-3,380.8127441,755.3648682,269.8719177,652.5097046,387.3886719,428.2671204,829.5021362,767.2680664
Q60692,201.4400787,265.5574951,190.103302,286.8041687,192.2393341,202.6004181,259.2964478,240.7260284
Q60710,51.66815567,89.85053253,29.68326187,195.9987183,29.56797028,82.49184418,178.7268066,117.142807
Q60715-2,9.285163879,14.74116325,8.392843246,29.36692429,4.216105938,12.92850494,14.69128323,15.22201729
Q60737,85.83063507,98.61368561,80.7713089,113.8292313,81.22907257,94.29772949,97.70365906,100.3756256
Q60749,33.74928665,36.44897079,19.38958549,39.88043213,20.39944267,15.02767849,66.35372925,54.03750992
Q60766;Q60766-2,75.57433319,81.77166748,81.5337677,71.5225296,88.64264679,63.11569977,103.470314,107.1820221
Q60770,57.04938126,40.00354385,56.29146194,39.82785416,50.34790802,65.95374298,61.89446259,41.35389709
Q60825;Q9D2V6,512.8239746,72.26911163,534.4091797,135.7125092,578.4195557,459.2285156,30.50921631,54.75593185
Q60854,104.4382782,380.2235413,89.89574432,433.3906555,87.65974426,135.4308167,448.6767273,344.0976563
Q60855,Filtered,15.73944092,8.593802452,18.83284187,Filtered,6.024792194,17.23075867,8.809579849
Q60864,320.7799988,402.881012,363.1467896,442.096344,349.4328613,284.5218201,383.1264038,360.9114075
Q60865,89.13378143,124.6713791,98.13893127,115.6020126,113.1393509,114.7483978,142.9201202,131.830719
Q60866,622.3400879,487.1374817,612.3325195,113.1351166,686.1508789,636.9297485,378.3735962,544.5062256
Q60872,29.56180191,57.43959045,30.09235573,52.00786972,31.19157982,39.00362778,43.72817612,52.08430862
Q60902;Q60902-2;Q60902-4,34.54510117,50.7951088,33.26659775,52.72235489,39.76353073,37.23455811,58.9163208,59.89710999
Q60928,4713.352539,2871.340088,4785.92041,3911.648438,4518.172852,3922.548584,1465.264771,2312.319824
Q60930,2505.515381,1445.021606,2132.440674,2743.147949,2012.614746,2096.118408,1162.267456,1579.076172
Q60932-2,2577.059082,1541.472046,2297.727539,3394.112549,2228.943604,2243.563232,766.6899414,1371.948486
Q60936,71.31819916,21.60961723,75.86232758,18.83583832,88.92749023,77.20702362,17.69790268,29.2404213
Q60953;Q60953-2,8.237169266,20.19271469,9.766770363,22.04928017,7.992443085,11.21434784,17.89573288,13.80574512
Q60963,6.011765957,2.430996895,Filtered,76.20322418,1.244136214,Filtered,6.176968575,5.277646065
Q60967;Q6NZM8,226.9664001,158.2302551,217.4165192,296.4361877,176.3377533,155.564209,229.8949585,165.078537
Q60972,9.12593174,26.04253197,10.56245899,16.57076836,18.95364189,17.14424515,25.11175156,20.01498795
Q60973,127.4452057,231.5289459,107.0697556,342.3149109,91.62535095,110.9386749,392.2987366,227.4774323
Q60991,57.50380325,6.08878994,75.87767029,30.34655952,74.11175537,52.92447281,17.22339249,7.792496681
Q61001,6.931640148,21.728302,7.300690174,36.6789856,5.234935284,7.284418583,12.16725445,8.997124672
Q61024,Filtered,13.47437954,Filtered,19.54270744,4.810046196,7.395466805,23.1813736,9.576101303
Q61029-3,100.4283371,218.0211792,95.85176086,209.928894,89.79799652,100.7537918,304.2210693,232.348938
Q61033,10.78185558,31.86703491,13.67337227,24.74011421,9.48272419,12.69281673,38.02007675,27.10261345
Q61035,160.3562927,188.5702057,177.4796753,178.2431488,151.8344727,159.6310577,223.7454834,190.2822571
Q61081,52.50687408,84.42528534,52.83853149,77.00089264,64.31193542,62.58179855,102.9908981,69.29795074
Q61093,21.58032608,3.015485287,Filtered,132.6397552,46.35816956,18.26015472,43.99968338,20.88041878
Q61102,48.37304306,28.44654465,75.12602234,22.07689095,43.63724518,39.06607819,16.95334816,28.51270676
Q61107,Filtered,NaN,2.561270237,6.369393349,Filtered,Filtered,10.36082172,7.780936241
Q61129,27.33303261,30.21655273,24.26968956,292.0998535,22.70893669,44.73665237,47.55654526,26.83076668
Q61133,591.739563,333.1433411,566.6551514,214.6554108,551.1295166,619.8348999,270.348053,405.6228943
Q61136,5.058851242,24.75440598,10.33812237,8.313826561,4.8346138,5.696576118,13.64321804,6.694606304
Q61140;Q61140-2,2.585679293,2.313500881,2.712255955,Filtered,Filtered,NaN,12.75387669,13.8727932
Q61151,13.85039043,12.95472527,11.3573494,4.483479977,10.66857624,7.702485085,13.13486099,8.056653976
Q61160,27.99330521,30.92098045,25.71699333,31.44794464,28.72184181,27.40209198,28.11760139,19.68048859
Q61166,95.5039978,186.2749023,96.18061829,194.8954926,84.26564789,95.3840332,202.6558228,193.6148376
Q61171,1765.575684,1259.788818,1650.919678,2135.619141,1897.828247,1813.748901,1315.963379,1205.974487
Q61176,54.97018433,37.08667374,14.71710014,1000.061768,NaN,166.4928894,93.91663361,20.43964005
Q61187,16.40195084,19.859478,20.00499916,25.31819344,17.01629639,13.48196888,33.01408005,21.83456802
Q61205,62.623703,209.1699219,80.55273438,184.5124054,60.75877762,75.17636871,265.6764221,201.0323944
Q61206,269.7409668,563.7470093,245.77211,424.5007629,312.9346008,318.7012939,664.8718872,479.4629211
Q61233,162.1088257,548.5599365,88.33315277,1442.53064,106.6693954,339.6763,961.6384277,582.7514648
Q61235,55.83963394,28.00776672,35.07566833,51.81065369,31.97600937,49.95669937,49.66331482,59.52294159
Q61239,10.105937,19.19107437,7.070393085,12.99280548,16.14536858,16.24499702,16.47325516,17.01021576
Q61249,16.18084145,36.25341797,16.30815125,17.56268692,20.66259766,17.96593475,23.22525597,39.36426926
Q61292,13.07236195,18.25745773,16.29028702,39.57543564,7.246595383,4.413197994,15.62914181,20.6260128
Q61335,13.57531071,12.8995533,14.68038082,7.092403412,19.84123802,9.058017731,13.18290615,11.17339516
Q61391,110.1131058,133.0168457,101.7166901,76.37604523,123.3780899,78.53827667,97.98408508,92.97653198
Q61398,2.890042067,16.69753838,5.336541653,74.7421875,1.067435861,9.519007683,13.64633465,10.52070999
Q61425,8887.170898,4045.170166,8747.013672,3083.322754,8920.813477,8452.950195,2287.781006,4336.398926
Q61503,18.66150665,53.06479263,23.22198105,43.10560608,22.47697639,17.66546249,43.57888031,44.06802368
Q61550,12.82711029,19.140131,16.32347679,13.45231438,18.16316605,16.03499413,25.00000763,16.95084763
Q61553,68.47731781,193.116394,38.36072159,624.7004395,49.56248093,80.97829437,322.47995,199.2945557
Q61554,11.01349545,21.30999565,3.624379635,123.9458923,30.31387138,32.2090416,31.83709717,44.91194916
Q61555,Filtered,9.19926548,Filtered,36.88903427,19.04334259,5.200485706,Filtered,NaN
Q61559;Q6PKB0,26.08257675,45.23336792,19.82262993,70.5086441,24.50452042,20.67868614,40.02190781,36.03745651
Q61576,6.392022133,21.95848274,11.18036556,77.11688232,Filtered,12.32218361,41.16165543,17.50371933
Q61578,93.68948364,42.14554214,99.25173187,62.14661026,82.05326843,82.51786804,43.27286148,52.39910507
Q61586,15.10490227,8.41438961,20.07603264,12.2454958,12.79131413,7.144369125,7.001585007,10.19426346
Q61598,362.0239258,432.6237488,406.4377747,321.1455994,401.9343567,423.6491699,417.9615479,411.4058533
Q61599,94.52682495,246.2726898,68.77218628,768.0067749,76.23674774,105.4091949,399.9420776,195.3046112
Q61635,13.657938,32.56971741,Filtered,84.66457367,Filtered,18.36598396,92.47761536,18.24565315
Q61646,1047.9375,798.3421631,185.0278778,3825.851807,323.9524536,1234.575684,1569.700562,1104.753418
Q61655,11.81047153,30.19632149,7.25936985,34.94413376,15.03883457,16.693573,20.37481689,27.49499702
Q61656;Q8BTS0,546.5533447,1171.922363,501.631073,1093.683838,505.4802551,577.5111694,1355.306152,1087.086304
Q61686,10.89572334,28.65768433,11.93714142,35.21210861,13.89430428,12.79728031,25.16963577,22.42302132
Q61704,91.83014679,149.4603577,40.4402504,566.9650269,66.48690033,134.5497284,200.850235,120.5059814
Q61733,36.33722687,19.9248848,19.25404167,32.10907745,20.4523716,9.458947182,11.13334656,6.758648396
Q61735;Q61735-2,38.58800507,59.03503799,25.55218315,68.86873627,34.9774437,47.16732407,36.33992004,43.14472961
Q61739;Q61739-2,212.2716064,236.9500427,214.7679901,331.8094177,161.8087006,194.8614349,152.0042572,176.4721222
Q61753,125.5251083,498.1007385,123.033226,583.2877197,128.9299316,138.5750275,583.1528931,479.0320435
Q61767,200.5200958,96.40650177,206.5843201,57.52849579,220.5233612,184.96492,52.47784805,70.38100433
Q61768,107.9003983,185.5853271,132.3848724,95.36121368,127.7041168,145.3426361,198.0981903,162.6152191
Q61792,130.7001648,253.3635406,125.5893402,210.5812836,157.5067749,142.296524,298.6245422,255.8696289
Q61805,3.492874861,7.035335541,Filtered,123.5037689,Filtered,3.837554932,14.50847912,11.0438261
Q61823,Filtered,24.47546196,10.16501904,10.60503006,5.24437809,5.873458385,23.07088089,2.508793354
Q61830,2.395066261,25.60251808,3.531968355,67.6258316,2.861896276,7.691587925,38.28927994,20.30283546
Q61838,1118.616943,624.6153564,820.982666,9894.089844,1162.659302,1231.885742,1248.893555,698.5869141
Q61847;Q61847-2,1735.238403,530.7789307,1715.849487,931.8521729,1811.952759,1431.218018,432.8191223,272.3955078
Q61878,8.24228096,2.773575544,6.316372395,18.7165184,2.341982841,8.68166256,2.619058371,7.335244179
Q61881,2.595337629,15.7423315,Filtered,45.99870682,17.01817703,4.660768032,34.76861572,20.74507332
Q61941,640.7182617,163.7606659,749.5348511,186.0922394,614.9597168,521.8052368,101.2992249,174.3212433
Q61983,8.263820648,1.077810049,0.659615219,Filtered,8.452410698,3.050916433,NaN,Filtered
Q61990,428.767395,783.3300171,420.4894714,766.9406738,439.6893311,469.5509033,822.4697876,645.3537598
Q62000,15.68540478,13.02399158,5.408744812,199.8516235,8.700637817,39.2760582,48.710495,67.48326874
Q62009;Q62009-2;Q62009-3;Q62009-5,59.07611084,70.31728363,Filtered,706.5594482,NaN,102.3213425,151.8150635,149.4052277
Q62048,7.156446457,13.88724041,8.617962837,17.47350311,3.926162243,3.595741034,23.53353882,15.20404148
Q62074,16.28312683,25.53938866,10.42254257,24.92954254,5.562553406,17.85757065,13.36054325,20.00003815
Q62084,3.916857481,21.87937164,6.407604694,25.85383797,Filtered,12.85111809,28.49221992,28.42617607
Q62086,12.26835918,17.81451988,11.88265133,33.13601685,11.01219654,8.056386948,21.52956009,16.47794724
Q62093,234.3344574,956.5256348,234.3447723,575.0084229,452.1965332,254.5512695,1306.791016,718.0263062
Q62095,20.32916641,48.85664368,10.75753117,41.52819061,11.34395409,17.92247772,23.70416069,34.77780151
Q62148,9.991846085,63.05083084,12.12642193,67.27137756,5.449482918,13.83011436,68.03378296,41.67271042
Q62159,81.70451355,241.6209106,101.2440414,152.1531982,65.67835999,109.8696976,238.6318512,211.8093567
Q62165,28.11745644,19.99466705,Filtered,31.35467529,10.40382195,16.37817764,17.28260612,9.686130524
Q62167,272.6789856,492.7254944,274.4211121,474.517334,264.4830627,296.0608215,512.010376,458.5184631
Q62179,19.89156342,3.450546741,12.63372135,NaN,8.461668015,29.28957558,19.66010666,12.29687119
Q62186;Q9D8L3,31.62607956,60.62401962,36.29224014,107.5143051,32.21590042,54.56805038,76.02364349,61.09538269
Q62189,28.60096359,97.009552,39.38066864,63.18992615,55.28533173,29.73260498,103.5351944,68.38306427
Q62241,2.691920042,2.935009956,4.657776356,5.13987875,2.290798664,1.361279249,9.028481483,3.043828726
Q62261,1143.484009,976.5579224,1202.266724,612.1010132,1288.225708,1116.559204,937.2443848,962.5805054
Q62318,87.05132294,320.3143311,76.61687469,378.4086304,111.7471695,99.23041534,450.3676147,309.5232544
Q62348,25.93379974,41.31982422,15.01655865,36.63452148,31.5082016,21.28671074,47.87487793,43.48304367
Q62351,13.27026939,13.62955856,9.217590332,15.92947006,9.162420273,9.963214874,6.370916367,4.432428837
Q62356,Filtered,Filtered,Filtered,48.43828583,Filtered,Filtered,8.400996208,5.423149586
Q62376,31.47308922,86.76395416,38.70658493,86.3768692,40.38050461,30.14407158,105.2212677,77.42906189
Q62383,5.816274166,15.56291294,17.06549263,24.17315674,23.34282112,13.13319492,14.24275684,13.89465904
Q62418;Q62418-2;Q62418-3,61.9794693,81.85147858,50.51800919,88.52125549,63.93948364,61.23868942,116.8380203,76.05171967
Q62419,14.42786789,45.8707428,7.924352169,61.54666901,15.46224022,15.2525835,53.9580574,46.1216774
Q62422,116.1556549,209.0637054,73.03513336,188.1301575,94.40262604,108.6624069,209.2137451,170.7707214
Q62426,293.8850403,862.5200806,228.8991852,556.0314331,272.2979431,323.6365356,1071.970703,872.7936401
Q62432;Q62432-2,28.44820023,53.87242126,21.5575428,62.66856384,16.72711563,26.83498383,63.46914291,59.12781525
Q62433,750.2113647,980.0454712,843.7728271,374.3283691,879.3126221,745.2497559,635.8399048,817.8789063
Q62446,68.98866272,83.10762024,56.08756638,40.59972382,68.63859558,81.75139618,79.2144165,67.03498077
Q62448,49.03810501,83.15367126,52.7232666,61.64760208,50.28765869,38.23059845,86.80221558,64.63887787
Q62465,303.5736389,1089.829468,260.6898804,971.2926025,295.8624268,338.2991638,1312.4375,971.756897
Q62468,1275.932373,1034.795898,1317.491089,183.4476318,1390.070557,1238.477661,745.449707,1024.859741
Q62470;Q62470-2,78.70037079,174.3842926,78.33798981,242.5813599,62.0486908,77.31581116,117.7221222,102.2726746
